titles,details,prices,links
Volkswagen Touran 1.6 TDI Comfortline BlueMotion Euro5 KLIM,Unfallfrei • EZ 09/2012 • 215.000 km • 77 kW (105 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Renault Scenic III Dynamique*KLIMA*SHZ*AHK*TEMPOMAT*,EZ 07/2011 • 179.000 km • 96 kW (131 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Renault Clio CDI,EZ 05/2011 • 152.900 km • Diesel,"4.054 €
21% MwSt.",https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Opel Astra 1.4 TEMPO KLIMA PDC SHZ TÜV,EZ 09/2010 • 168.630 km • 74 kW (101 PS) • Benzin,4.050 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Citroën Citroen Jumpy Kastenwagen,EZ 02/2011 • 170.091 km • 66 kW (90 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Volkswagen Polo 1.6 TDI -,EZ 06/2010 • 197.000 km • 55 kW (75 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Opel Insignia A Sports Tourer Design Edition TÜV NEU,EZ 09/2011 • 253.000 km • 118 kW (160 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Volkswagen Verkaufe VW Golf 6,EZ 07/2011 • 249.200 km • 59 kW (80 PS) • Benzin,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Seat Ibiza 1.4 16V Good Stuff,Unfallfrei • EZ 04/2010 • 181.568 km • 63 kW (86 PS) • Benzin,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
"Ford C-Max 1,6 Ti-VCT 92kW Trend Trend",Unfallfrei • EZ 06/2010 • 190.000 km • 92 kW (125 PS) • Benzin,4.050 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Ssangyong Tivoli 1.6D Crystal '18 klima Cruise Inruil moge,EZ 03/2018 • 273.652 km • 85 kW (116 PS) • Diesel,4.080 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
"Opel Combo 2,0 Diesel selten",EZ 06/2013 • 222.000 km • 99 kW (135 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Audi A3 2.0 TDI Ambit. B.E.,EZ 10/2011 • 260.414 km • 103 kW (140 PS) • Diesel,4.090 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Volkswagen Passat,EZ 07/2010 • 279.000 km • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Audi A1 1.6 TDI,EZ 10/2010 • 268.500 km • 77 kW (105 PS) • Diesel,4.050 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Ford Focus mk3,EZ 03/2011 • 225.000 km • 85 kW (116 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Ford Mondeoba7 Giha Tüv Allwetterreifen,EZ 04/2010 • 219.500 km • 85 kW (116 PS) • Diesel,4.050 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
Honda Accord Tourer 2.2 i-DTEC Elegance,EZ 05/2011 • 293.999 km • 110 kW (150 PS) • Diesel,4.099 €,https://suchen.mobile.de/fahrzeuge/details.html?id=271101797&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=4050%3A4099&ref=srp&refId=f1443b10-a0f8-22a2-9a8d-52440e99c975&s=Car&sb=rel&searchId=f1443b10-a0f8-22a2-9a8d-52440e99c975&vc=Car
