titles,details,prices,links
Volkswagen Golf 1.2 TSI BlueMotion Technology MATCH MAT...,Reparierter Unfallschaden • EZ 07/2012 • 160.000 km • 77 kW (105 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Hyundai i20 Classic *1.HAND/KLIMA/SCHECKHEFTGEPFLEGT*,Unfallfrei • EZ 08/2016 • 152.000 km • 55 kW (75 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Volkswagen Passat Variant Comfortline / AUTOMATIK,Unfallfrei • EZ 03/2012 • 156.698 km • 118 kW (160 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Volkswagen Touran Comfortline 1.2 TSI BlueMotion,Unfallfrei • EZ 09/2010 • 213.000 km • 77 kW (105 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Seat Leon ST 2.0 TDI 110kW Start&Stop FR FR,EZ 06/2015 • 247.800 km • 110 kW (150 PS) • Diesel,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Volkswagen Golf Plus VI Style- Schiebedach- Alle Inspek,Unfallfrei • EZ 07/2012 • 170.620 km • 90 kW (122 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Volkswagen Golf VI Variant Match,Unfallfrei • EZ 01/2013 • 170.000 km • 77 kW (105 PS) • Diesel,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Hyundai i10 YES! Plus,EZ 06/2017 • 159.000 km • 49 kW (67 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Audi A3 Cabriolet Attraction,EZ 04/2011 • 154.000 km • 77 kW (105 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Hyundai i20 Intro Edition.Klimatronic.PDC.Sitzheizung.,EZ 05/2015 • 159.000 km • 62 kW (84 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
"Volkswagen Golf Plus 1,6 TDI Comfortline",Unfallfrei • EZ 03/2012 • 170.000 km • 77 kW (105 PS) • Diesel,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
"Ford Fiesta 1,1 52kW",Unfallfrei • EZ 02/2019 • 167.000 km • 52 kW (71 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
"Mercedes-Benz A 200 CDI AVANTGARDE,EU5,SZH,ALU,SERV/TÜV NEU",Unfallfrei • EZ 08/2011 • 156.500 km • 103 kW (140 PS) • Diesel,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Skoda Superb Combi Active,Unfallfrei • EZ 02/2014 • 158.000 km • 92 kW (125 PS) • Benzin,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
Renault Clio IV 1.5DCi Kombi *Klima+Tempomat+Bluet.+EU6*,EZ 02/2016 • 167.000 km • 55 kW (75 PS) • Diesel,6.700 €,https://suchen.mobile.de/fahrzeuge/details.html?id=383816025&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6700%3A6749&ref=srp&refId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&s=Car&sb=rel&searchId=f64457df-9cc0-a275-be4b-7d0c7f1b00a8&vc=Car
