titles,details,prices,links
Volkswagen Golf VI Match,Unfallfrei • EZ 04/2012 • 175.812 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VI Match,Unfallfrei • EZ 04/2012 • 175.812 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VI Variant Match * Service NEU * Scheckheft,EZ 06/2012 • 150.000 km • 63 kW (86 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VII Variant Cup BMT,EZ 12/2014 • 180.778 km • 63 kW (86 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf 1.2 TSI Comfortline 105 PS GTI,Unfallfrei • EZ 06/2010 • 181.000 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VI Match,Unfallfrei • EZ 04/2012 • 175.812 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Renault Grand Espace Edition 25th dCi 175 FAP Editio...,Unfallfrei • EZ 08/2010 • 232.800 km • 127 kW (173 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VI Cabriolet*SHZ*PDC*2 ZONEN KLIMAAUT.*ALU*,EZ 06/2012 • 162.962 km • 77 kW (105 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Nissan Note 1.2 Acenta*Navi*KlimaAut*360°*Alu*Assist*,EZ 05/2014 • 153.000 km • 59 kW (80 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Opel Insignia A Sports Tourer Business Edition,EZ 04/2016 • 162.000 km • 100 kW (136 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Peugeot 5008 1.6 HDI STYLE 120 PS NR:24969,Unfallfrei • EZ 08/2015 • 168.000 km • 88 kW (120 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
"Volkswagen Golf VI Match BlueMotion/BMT,Navi,SHZ,PDC,Alu 8x",Unfallfrei • EZ 09/2012 • 186.300 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VI Variant Style *TÜV-NEU*,EZ 10/2011 • 178.265 km • 77 kW (105 PS) • Benzin,6.222 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Ford Focus Turnier Trend,Unfallfrei • EZ 11/2013 • 158.000 km • 74 kW (101 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Polo V Comfortline TÜV 09/2026,Unfallfrei • EZ 06/2010 • 160.459 km • 51 kW (69 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Skoda Ambition*Klima*SHZ*PDC*LMF*AHK 1.Hand*TÜV-Neu*,EZ 07/2014 • 164.100 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Peugeot 308 CC Active 155 THP Active,Unfallfrei • EZ 06/2012 • 152.422 km • 115 kW (156 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf Plus 1.6 TDI BlueMotion Technology MATC...,EZ 04/2012 • 173.680 km • 77 kW (105 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Caddy Kasten/Kombi Kasten EcoProfi,Unfallfrei • EZ 10/2013 • 188.000 km • 75 kW (102 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
"Dacia Lodgy Prestige 1,5 *1.Hand*7 Sitzer*Navi*Alu*",Unfallfrei • EZ 12/2012 • 152.000 km • 79 kW (107 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Dacia Logan MCV II Kombi Comfort Navi,EZ 05/2019 • 181.837 km • 66 kW (90 PS) • Benzin,"6.220 €
19% MwSt.",https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Polo 1.0 44kW Comfortline BMT Comfortline Bl...,Unfallfrei • EZ 08/2014 • 154.000 km • 44 kW (60 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf 1.2 TSI Comfortline 105 PS GTI,Unfallfrei • EZ 06/2010 • 181.000 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Volkswagen Golf VII Variant Trendline BMT,Unfallfrei • EZ 04/2014 • 224.000 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407393425&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&ref=srp&refId=a65ec147-93e8-2636-df39-19a0a70f44e4&s=Car&sb=rel&searchId=a65ec147-93e8-2636-df39-19a0a70f44e4&vc=Car
Audi A1 ambition,Unfallfrei • EZ 11/2011 • 179.640 km • 63 kW (86 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Polo 1.4 TDI 55kW Comfortline Comfortline,Unfallfrei • EZ 10/2016 • 164.000 km • 55 kW (75 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Golf 7 1.2 Bluemotion,EZ 12/2013 • 167.000 km • 63 kW (86 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Kia Carens 1.6 GDI 135PS NR:29870,Unfallfrei • EZ 07/2014 • 189.000 km • 99 kW (135 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Caddy 1.6 TDI Kasten*Klimaanlage*Tüv:06/2026*,EZ 05/2014 • 204.641 km • 75 kW (102 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Golf VII Variant Comfortline BMT,EZ 01/2014 • 222.442 km • 110 kW (150 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Golf 1.4 Style,Unfallfrei • EZ 06/2011 • 150.000 km • 59 kW (80 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen VOLKSWAGEN 1.0 75 CV 5p. high up!,Unfallfrei • EZ 12/2012 • 152.000 km • 55 kW (75 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
MINI Cooper Cabrio - Verkauf / Tausch,Unfallfrei • EZ 05/2011 • 159.000 km • 90 kW (122 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Golf 1.4 TSI 90kW BMT Klimaauto Sitzhz Tempomat,Unfallfrei • EZ 04/2011 • 204.000 km • 90 kW (122 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Caddy 1.6 Kasten EcoProfi Klima/2xSchiebetüren,EZ 09/2012 • 195.400 km • 55 kW (75 PS) • Diesel,"6.200 €
19% MwSt.",https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Audi A4 Avant Attraction Navi Automatik PDC AHK,EZ 12/2011 • 186.435 km • 105 kW (143 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen VW Golf 6 Turbo,EZ 01/2012 • 160.000 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Polo 1.2 44kW Style Style,Unfallfrei • EZ 03/2012 • 151.230 km • 44 kW (60 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Opel Astra J Lim. 1.4 Turbo 5-trg. Active 2.Hand,Unfallfrei • EZ 07/2013 • 181.000 km • 103 kW (140 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Opel Antara Design Edition 4x2,Unfallfrei • EZ 07/2011 • 164.000 km • 123 kW (167 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Citroën C5 Tourer Selection 2.0 AHK SHZG PDC KLIMAAUT,EZ 05/2014 • 180.240 km • 120 kW (163 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Golf 1.6 TDI BlueMotion BlueMotion,EZ 07/2010 • 193.000 km • 77 kW (105 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Volkswagen Golf 1.4 TSI 90kW Highline Variant Highline,Unfallfrei • EZ 03/2011 • 158.000 km • 90 kW (122 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
Opel Astra ST 1.6 CDTI,EZ 01/2018 • 152.000 km • 81 kW (110 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407594017&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=2&ref=srp&refId=a4264034-fde2-1f58-e645-340e59d50c5e&s=Car&sb=rel&searchId=a4264034-fde2-1f58-e645-340e59d50c5e&vc=Car
MINI Cooper D Countryman Cooper D,Unfallfrei • EZ 02/2012 • 168.000 km • 82 kW (111 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
Volkswagen Sharan 1.4TSI,EZ 10/2012 • 162.500 km • 110 kW (150 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
BMW 114i Sport Line Sport Line,Unfallfrei • EZ 11/2012 • 163.000 km • 75 kW (102 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
"Volkswagen Golf 7, 2013, 1.2 TSI mit neun TÜV",EZ 10/2013 • 182.921 km • 63 kW (86 PS) • Benzin,6.230 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
Peugeot 5008 Active,Unfallfrei • EZ 11/2012 • 176.000 km • 110 kW (150 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
Peugeot 308 1.2 SW Allure,EZ 10/2014 • 199.000 km • 96 kW (131 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
Seat Leon 1.4 TSI Copa EDIT. 4/5-TÜRER*NAVI*KLIMA*PDC,Unfallfrei • EZ 06/2011 • 172.000 km • 92 kW (125 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
Volkswagen VW Touran 1.2 (7 Sitzer) Neue TÜV - Lücken...,EZ 11/2011 • 159.000 km • 77 kW (105 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
"Volkswagen Golf 1,6 TDI Zahnriemen neu",EZ 12/2011 • 164.700 km • 77 kW (105 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
Volkswagen Golf 1.4 TSI Style Variant Style,EZ 08/2011 • 169.000 km • 90 kW (122 PS) • Benzin,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
"Volkswagen Caddy 1,6 TÜV NEU 5SETZEN",EZ 12/2012 • 163.500 km • 75 kW (102 PS) • Diesel,6.200 €,https://suchen.mobile.de/fahrzeuge/details.html?id=405732769&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=6200%3A6249&pageNumber=3&ref=srp&refId=72a36598-1ce5-4281-91e1-f365d0172864&s=Car&sb=rel&searchId=72a36598-1ce5-4281-91e1-f365d0172864&vc=Car
