titles,details,prices,links
Volkswagen Golf Plus VI Life*Tempomat*Sitzheizung*1. Hand,EZ 10/2013 • 156.000 km • 77 kW (105 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Volkswagen Golf Plus VI 1.2 TSI DSG Match - Teilleder* AHK*,EZ 02/2013 • 155.000 km • 77 kW (105 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Volkswagen Golf 1.2 TSI Comfortline Klimaautomat-PDC-Euro5,EZ 09/2013 • 173.000 km • 63 kW (86 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Ford Transit Custom Kasten 270 H2 L1 Trend,Unfallfrei • EZ 11/2017 • 273.000 km • 77 kW (105 PS) • Diesel,"7.300 €
19% MwSt.",https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Audi A1 1.2 TFSI Attraction,Reparierter Unfallschaden • EZ 04/2012 • 175.091 km • 63 kW (86 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
MINI Cooper SD Cabrio Highgate zum Herbstpreis,Unfallfrei • EZ 11/2012 • 169.989 km • 105 kW (143 PS) • Diesel,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Opel Astra ST 1.4 Turbo Innovation 110kW S/S,EZ 07/2016 • 150.000 km • 110 kW (150 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Volkswagen Golf VII Variant Lounge Navi Digi Tacho,Unfallfrei • EZ 07/2015 • 197.000 km • 81 kW (110 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Opel Astra 1.0 Online Edition 5-türig -NAVI-CAM-PDC-,EZ 08/2017 • 162.210 km • 77 kW (105 PS) • Benzin,"7.314 €
21% MwSt.",https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Skoda Fabia Active*KLIMA*RADIO/UBS*LM-FELGEN*LED-TAGL.,EZ 03/2019 • 164.850 km • 55 kW (75 PS) • Benzin,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
Opel Astra ST 1.6 Diesel Edition 81kW *HU 10/2026,EZ 09/2019 • 162.000 km • 81 kW (110 PS) • Diesel,7.300 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406809009&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7300%3A7349&ref=srp&refId=a872254a-2ae0-828e-c01a-c0ead69e9298&s=Car&sb=rel&searchId=a872254a-2ae0-828e-c01a-c0ead69e9298&vc=Car
