titles,details,prices,links
Volkswagen Golf Sportsvan VII Lounge|Klima|Navi|MFL|PDC|,EZ 07/2014 • 161.000 km • 81 kW (110 PS) • Benzin,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Golf VII Lim. Trendline BMT,Unfallfrei • EZ 08/2013 • 162.200 km • 63 kW (86 PS) • Benzin,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Polo 1.4 TDI 66kW ALLSTAR ALLSTAR,Unfallfrei • EZ 10/2016 • 165.600 km • 66 kW (90 PS) • Diesel,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Polo 1.4 TDI 66kW ALLSTAR ALLSTAR,Unfallfrei • EZ 10/2016 • 165.600 km • 66 kW (90 PS) • Diesel,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Opel Zafira C Tourer Edition*KLIMA*ALU*PDC*SHZ*Nr.53,EZ 04/2012 • 173.900 km • 103 kW (140 PS) • Benzin,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Audi A1 1.6 TDI 66kW S tronic S line,Unfallfrei • EZ 12/2011 • 245.550 km • 66 kW (90 PS) • Diesel,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Touran 1.2 TSI Trendline,Unfallfrei • EZ 01/2015 • 163.063 km • 77 kW (105 PS) • Benzin,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Golf VII 7 1.2 TSI Sportsvan Gerne Finanzierung,Unfallfrei • EZ 05/2014 • 170.000 km • 81 kW (110 PS) • Benzin,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Polo V Comfortline BMT/Start-Stopp,EZ 12/2015 • 165.000 km • 66 kW (90 PS) • Diesel,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
Volkswagen Golf Lim. Match 5trg PDC Klima Sitzh T-Leder ALU,EZ 07/2012 • 155.000 km • 77 kW (105 PS) • Diesel,7.500 €,https://suchen.mobile.de/fahrzeuge/details.html?id=406724879&action=eyeCatcher&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=7500%3A7549&ref=srp&refId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&s=Car&sb=rel&searchId=c9ac61c3-35ed-198e-ce58-b2ab9e58f921&vc=Car
