titles,details,prices,links
Renault Twingo 1.2 Klima Tempomat Bluetooth,EZ 03/2013 • 152.516 km • 55 kW (75 PS) • Benzin,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
"Opel Corsa 1.2 D, Sitz+Lenkr.Hz, TÜV+Reifen neu",Unfallfrei • EZ 05/2014 • 170.000 km • 51 kW (69 PS) • Benzin,3.299 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Mercedes-Benz A 180 A -Klasse A 180,EZ 06/2010 • 170.000 km • 85 kW (116 PS) • Benzin,3.290 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
"Opel Corsa 1.2 D, Sitz+Lenkr.Hz, TÜV+Reifen neu",Unfallfrei • EZ 05/2014 • 170.000 km • 51 kW (69 PS) • Benzin,3.299 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Hyundai i10 Classic KLimaanlage/ Tüv bis 07.2026,Unfallfrei • EZ 05/2011 • 151.000 km • 51 kW (69 PS) • Benzin,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Nissan Micra Visia First *1.Hand*Tüv08.26*Klima*,Unfallfrei • EZ 11/2014 • 185.000 km • 59 kW (80 PS) • Benzin,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Hyundai i30 Classic MIT Neue TÜV,Unfallfrei • EZ 10/2010 • 154.100 km • 80 kW (109 PS) • Benzin,3.299 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
"Kia Venga 1,4 Vision*Klima, Bluetooth*",EZ 04/2010 • 150.093 km • 66 kW (90 PS) • Benzin,3.280 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Toyota Aygo Cool,EZ 10/2010 • 155.000 km • 50 kW (68 PS) • Benzin,3.260 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Mitsubishi Space Star,EZ 08/2017 • 151.000 km • 52 kW (71 PS) • Benzin,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Mercedes-Benz B 180 B -Klasse B 180 CDI,Reparierter Unfallschaden • EZ 06/2010 • 176.000 km • 80 kW (109 PS) • Diesel,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Lada Granta,Unfallfrei • EZ 11/2018 • 152.032 km • 72 kW (98 PS) • Benzin,3.299 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
"Renault Clio III 1,2l Expression",EZ 06/2010 • 154.500 km • 55 kW (75 PS) • Benzin,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Opel Meriva B Edition,Reparierter Unfallschaden • EZ 06/2014 • 181.000 km • 100 kW (136 PS) • Diesel,3.290 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Hyundai i20*TÜV Neu*1.Hand*,EZ 05/2011 • 163.000 km • 57 kW (77 PS) • Benzin,3.299 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
Renault Modus Expression 1.5 DCi Klima 48KW Euro 4,EZ 07/2010 • 150.094 km • 48 kW (65 PS) • Diesel,3.250 €,https://suchen.mobile.de/fahrzeuge/details.html?id=407290472&dam=false&fr=2010%3A&isSearchRequest=true&ml=150000%3A300000&p=3250%3A3299&ref=srp&refId=07be7678-a68d-b59c-7d89-c3a89acba526&s=Car&sb=rel&searchId=07be7678-a68d-b59c-7d89-c3a89acba526&vc=Car
